Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Best Model
1,2.208155870437622,10.779144698301113,2.1827635765075684,11.172413793103448,best_model_epoch1.pth
2,2.1397533416748047,20.093731693028705,2.103900194168091,34.206896551724135,best_model_epoch2.pth
3,1.9653199911117554,30.931458699472756,1.933567762374878,39.17241379310345,best_model_epoch3.pth
4,1.7659003734588623,37.55125951962508,1.7111786603927612,48.689655172413794,best_model_epoch4.pth
5,1.5641010999679565,45.16695957820738,1.5201365947723389,54.75862068965517,best_model_epoch5.pth
6,1.3940770626068115,50.61511423550088,1.344361662864685,57.931034482758626,best_model_epoch6.pth
7,1.2335604429244995,53.837141183362625,1.2116079330444336,58.20689655172414,best_model_epoch7.pth
8,1.122687578201294,57.23491505565319,1.0945637226104736,60.0,best_model_epoch8.pth
9,1.0248804092407227,59.57820738137083,1.0081006288528442,61.10344827586207,best_model_epoch9.pth
10,0.9042518138885498,63.85471587580551,0.9435955286026001,64.41379310344828,best_model_epoch10.pth
11,0.8281744122505188,65.67076742823667,0.8769108653068542,70.34482758620689,best_model_epoch11.pth
12,0.7491686344146729,72.23198594024605,0.8462177515029907,70.62068965517241,best_model_epoch12.pth
13,0.6809939742088318,74.22378441710603,0.8197615146636963,70.62068965517241,best_model_epoch13.pth
14,0.6165616512298584,76.7428236672525,0.8106748461723328,71.58620689655173,best_model_epoch14.pth
15,0.5575438737869263,78.85178676039835,0.8091873526573181,71.72413793103448,best_model_epoch15.pth
1,2.20282244682312,11.833626244874049,2.184248447418213,20.413793103448278,None
2,2.1140856742858887,21.499707088459285,2.1435635089874268,20.137931034482758,None
3,1.9792718887329102,31.985940246045697,2.082444906234741,35.44827586206897,None
4,1.8405667543411255,34.38781487990627,2.006101131439209,55.72413793103448,None
5,1.6969901323318481,42.88224956063269,1.9151239395141602,55.72413793103448,None
6,1.5468131303787231,46.22144112478031,1.8076436519622803,59.586206896551715,None
7,1.410264253616333,53.13415348564734,1.6798392534255981,64.96551724137932,None
8,1.294624924659729,56.59050966608085,1.5503803491592407,64.6896551724138,None
9,1.1774122714996338,60.105448154657296,1.4194376468658447,67.17241379310344,None
10,1.07306706905365,62.80023432923257,1.284999966621399,70.75862068965517,None
11,0.9731805920600891,65.61218512009374,1.1702989339828491,72.55172413793105,best_model_epoch11.pth
12,0.8843569159507751,68.42413591095489,1.0827524662017822,70.62068965517241,None
13,0.8084973692893982,72.11482132396017,0.9758103489875793,72.41379310344827,None
14,0.7348235249519348,72.23198594024605,0.8950209021568298,73.79310344827587,best_model_epoch14.pth
15,0.6773494482040405,74.86818980667839,0.8532404899597168,73.51724137931035,None
1,2.205742835998535,11.482132396016404,2.1962273120880127,11.448275862068966,None
2,2.174593687057495,16.520210896309315,2.1921799182891846,15.724137931034482,None
3,2.150019407272339,20.328060925600468,2.186257839202881,23.03448275862069,None
4,2.1239371299743652,24.487404803749268,2.1781845092773438,28.13793103448276,None
5,2.089158773422241,27.943760984182774,2.1672286987304688,30.482758620689655,None
6,2.051630735397339,32.571763327475104,2.1527810096740723,31.586206896551722,None
7,2.0235064029693604,33.45049794961921,2.1346616744995117,32.689655172413794,None
8,1.983189344406128,35.67662565905096,2.1131434440612793,35.172413793103445,None
9,1.9397989511489868,37.375512595196255,2.0880672931671143,36.55172413793103,None
10,1.9014796018600464,38.37141183362625,2.059520721435547,38.62068965517241,None
11,1.852997064590454,42.1792618629174,2.0273756980895996,41.10344827586207,None
